"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","OUTOFFIELD_FTE","OUTOFFIELD_FTE_PCT"
"2020-21","Appling County","Altamaha Elementary School","Teachers","Total",26.3,1,4
"2020-21","Appling County","Appling County Elementary School","Teachers","Total",45.9,1.9,4
"2020-21","Appling County","Appling County High School","Teachers","Total",55.4,3.6,6
"2020-21","Appling County","Appling County Middle School","Teachers","Total",57.9,0.5,1
"2020-21","Appling County","Appling County Primary School","Teachers","Total",51.2,1,2
"2020-21","Appling County","Appling County- All Schools","Teachers","Total",249.9,7.9,3
"2020-21","Appling County","Fourth District Elementary School","Teachers","Total",13.2,0,0
"2020-21","Atkinson County","Atkinson County High School","Teachers","Total",29.3,4.1,14
"2020-21","Atkinson County","Atkinson County Middle School","Teachers","Total",25.5,0.6,2
"2020-21","Atkinson County","Atkinson County- All Schools","Teachers","Total",107,5.7,5
"2020-21","Atkinson County","Pearson Elementary School","Teachers","Total",40.6,1,2
"2020-21","Atkinson County","Willacoochee Elementary School","Teachers","Total",11.6,0,0
"2020-21","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty",26,3.5,13
"2020-21","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",26,3.5,13
"2020-21","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",59,25.6,43
"2020-21","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",59,25.6,43
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",33,6,18
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",33,6,18
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",21.5,9.7,45
"2020-21","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",21.5,9.7,45
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",2522.1,335.6,13
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",1048.2,72.5,7
"2020-21","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",3957.9,442.3,11
"2020-21","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty",34,3.3,10
"2020-21","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",34,3.3,10
"2020-21","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty",26.1,1.9,7
"2020-21","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",26.1,1.9,7
"2020-21","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty",33.8,2.8,8
"2020-21","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",33.8,2.8,8
"2020-21","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty",27.3,0.5,2
"2020-21","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",27.3,0.5,2
"2020-21","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty",26.7,2.2,8
"2020-21","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",26.7,2.2,8
"2020-21","Atlanta Public Schools","Bolton Academy","Teachers","Low Poverty",43,2.3,5
"2020-21","Atlanta Public Schools","Bolton Academy","Teachers","Total",43,2.3,5
"2020-21","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty",57.8,8.6,15
"2020-21","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",57.8,8.6,15
"2020-21","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty",38.9,0.8,2
"2020-21","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",38.9,0.8,2
"2020-21","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty",61.5,0.1,0
"2020-21","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",61.5,0.1,0
"2020-21","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty",28.5,1.4,5
"2020-21","Atlanta Public Schools","Brown Middle School","Teachers","Total",28.5,1.4,5
"2020-21","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty",64.3,2.1,3
"2020-21","Atlanta Public Schools","Bunche Middle School","Teachers","Total",64.3,2.1,3
"2020-21","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Low Poverty",40.2,0,0
"2020-21","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",40.2,0,0
"2020-21","Atlanta Public Schools","Carver High School","Teachers","High Poverty",38.5,9.2,24
"2020-21","Atlanta Public Schools","Carver High School","Teachers","Total",38.5,9.2,24
"2020-21","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty",31.5,0.7,2
"2020-21","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",31.5,0.7,2
"2020-21","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty",62,4.3,7
"2020-21","Atlanta Public Schools","Centennial Academy","Teachers","Total",62,4.3,7
"2020-21","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",77,3.5,5
"2020-21","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty",80.5,1.3,2
"2020-21","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",80.5,1.3,2
"2020-21","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty",26.9,1.5,5
"2020-21","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",26.9,1.5,5
"2020-21","Atlanta Public Schools","Continental Colony Elementary School","Teachers","High Poverty",33.8,1.3,4
"2020-21","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",33.8,1.3,4
"2020-21","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","High Poverty",40.5,2.7,7
"2020-21","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",40.5,2.7,7
"2020-21","Atlanta Public Schools","Deerwood Academy School","Teachers","High Poverty",43.5,1.2,3
"2020-21","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",43.5,1.2,3
"2020-21","Atlanta Public Schools","Dobbs Elementary School","Teachers","High Poverty",33.8,5.1,15
"2020-21","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",33.8,5.1,15
"2020-21","Atlanta Public Schools","Douglass High School","Teachers","High Poverty",74.7,14.9,20
"2020-21","Atlanta Public Schools","Douglass High School","Teachers","Total",74.7,14.9,20
"2020-21","Atlanta Public Schools","Dunbar Elementary School","Teachers","High Poverty",24.3,0,0
"2020-21","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",24.3,0,0
"2020-21","Atlanta Public Schools","Early College High School at Carver","Teachers","High Poverty",37.6,3.8,10
"2020-21","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",37.6,3.8,10
"2020-21","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","High Poverty",18.8,1,5
"2020-21","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",18.8,1,5
"2020-21","Atlanta Public Schools","Fickett Elementary School","Teachers","High Poverty",39.7,0.8,2
"2020-21","Atlanta Public Schools","Fickett Elementary School","Teachers","Total",39.7,0.8,2
"2020-21","Atlanta Public Schools","Finch Elementary","Teachers","High Poverty",34.8,1.5,4
"2020-21","Atlanta Public Schools","Finch Elementary","Teachers","Total",34.8,1.5,4
"2020-21","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total",43.5,0,0
"2020-21","Atlanta Public Schools","Gideons Elementary School","Teachers","High Poverty",33,6,18
"2020-21","Atlanta Public Schools","Gideons Elementary School","Teachers","Total",33,6,18
"2020-21","Atlanta Public Schools","Grady High School","Teachers","Low Poverty",91.3,6.9,8
"2020-21","Atlanta Public Schools","Grady High School","Teachers","Total",91.3,6.9,8
"2020-21","Atlanta Public Schools","Harper-Archer Elementary School","Teachers","High Poverty",51.5,1.7,3
"2020-21","Atlanta Public Schools","Harper-Archer Elementary School","Teachers","Total",51.5,1.7,3
"2020-21","Atlanta Public Schools","Heritage Academy Elementary","Teachers","High Poverty",34.2,1.6,5
