"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","INEXPERIENCED_FTE","INEXPERIENCED_FTE_PCT"
"2019-20","Appling County","Altamaha Elementary School","Leaders","Not Applicable",1,0,0
"2019-20","Appling County","Altamaha Elementary School","Teachers","Total",27.3,6,22
"2019-20","Appling County","Appling County Elementary School","Leaders","Not Applicable",2,1.5,75
"2019-20","Appling County","Appling County Elementary School","Teachers","Total",44.9,14,31
"2019-20","Appling County","Appling County High School","Leaders","Not Applicable",2.5,0.5,20
"2019-20","Appling County","Appling County High School","Teachers","Total",55.7,14.8,27
"2019-20","Appling County","Appling County Middle School","Leaders","Not Applicable",2,0,0
"2019-20","Appling County","Appling County Middle School","Teachers","Total",53.9,19.5,36
"2019-20","Appling County","Appling County Primary School","Leaders","Not Applicable",2,1,50
"2019-20","Appling County","Appling County Primary School","Teachers","Total",48.2,15.1,31
"2019-20","Appling County","Appling County- All Schools","Leaders","Total",10.5,4,38
"2019-20","Appling County","Appling County- All Schools","Teachers","Total",242.1,58.3,24
"2019-20","Appling County","Fourth District Elementary School","Leaders","Not Applicable",1,1,100
"2019-20","Appling County","Fourth District Elementary School","Teachers","Total",12.2,4.5,37
"2019-20","Atkinson County","Atkinson County High School","Leaders","Not Applicable",1.8,1.8,100
"2019-20","Atkinson County","Atkinson County High School","Teachers","Total",31.5,17.6,56
"2019-20","Atkinson County","Atkinson County Middle School","Leaders","Not Applicable",2.1,1,48
"2019-20","Atkinson County","Atkinson County Middle School","Teachers","Total",25.4,12.2,48
"2019-20","Atkinson County","Atkinson County- All Schools","Leaders","Total",7.3,2.8,38
"2019-20","Atkinson County","Atkinson County- All Schools","Teachers","Total",114.5,40.1,35
"2019-20","Atkinson County","Pearson Elementary School","Leaders","Not Applicable",2.2,0,0
"2019-20","Atkinson County","Pearson Elementary School","Teachers","Total",44,13,30
"2019-20","Atkinson County","Willacoochee Elementary School","Leaders","Not Applicable",1.2,0,0
"2019-20","Atkinson County","Willacoochee Elementary School","Teachers","Total",13.6,3.6,26
"2019-20","Atlanta Public Schools","APS-Forrest Hills Academy","Leaders","Not Applicable",3,1,33
"2019-20","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",27.1,17,63
"2019-20","Atlanta Public Schools","Atlanta Classical Academy","Leaders","Low Poverty",3.3,3.3,100
"2019-20","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",57.8,38.5,67
"2019-20","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",57.8,38.5,67
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Leaders","Low Poverty",2,1,50
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",33,18,55
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",33,18,55
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Leaders","Low Poverty",2,0,0
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",23,9,39
"2019-20","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",23,9,39
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","High Poverty",40.8,35.8,88
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Low Poverty",7.3,4.3,59
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Leaders","Total",284.7,136.2,48
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",315.9,186.2,59
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",113.8,62.5,55
"2019-20","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",3879,1847.5,48
"2019-20","Atlanta Public Schools","B.E.S.T Academy","Leaders","Not Applicable",4,1,25
"2019-20","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",35,17.9,51
"2019-20","Atlanta Public Schools","Barack and Michelle Obama Academy","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",24.9,16.4,66
"2019-20","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Leaders","Not Applicable",2,0,0
"2019-20","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",32,17,53
"2019-20","Atlanta Public Schools","Beecher Hills Elementary School","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",26.5,8.2,31
"2019-20","Atlanta Public Schools","Benteen Elementary School","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",27.2,13.2,49
"2019-20","Atlanta Public Schools","Bolton Academy","Leaders","Not Applicable",2,0,0
"2019-20","Atlanta Public Schools","Bolton Academy","Teachers","Total",43,22,51
"2019-20","Atlanta Public Schools","Booker T. Washington High School","Leaders","Not Applicable",4,1,25
"2019-20","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",52.2,25.6,49
"2019-20","Atlanta Public Schools","Boyd Elementary School","Leaders","Not Applicable",2,2,100
"2019-20","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",35.3,17.8,50
"2019-20","Atlanta Public Schools","Brandon Elementary School","Leaders","Not Applicable",3,1,33
"2019-20","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",66,25,38
"2019-20","Atlanta Public Schools","Brown Middle School","Leaders","Not Applicable",4,1,25
"2019-20","Atlanta Public Schools","Brown Middle School","Teachers","Total",31.2,16.2,52
"2019-20","Atlanta Public Schools","Bunche Middle School","Leaders","Not Applicable",4,1,25
"2019-20","Atlanta Public Schools","Bunche Middle School","Teachers","Total",60.1,38.6,64
"2019-20","Atlanta Public Schools","Burgess-Peterson Elementary School","Leaders","Not Applicable",2,0,0
"2019-20","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",39,17.2,44
"2019-20","Atlanta Public Schools","Carver High School","Leaders","Not Applicable",4,3,75
"2019-20","Atlanta Public Schools","Carver High School","Teachers","Total",40.5,35.5,88
"2019-20","Atlanta Public Schools","Cascade Elementary School","Leaders","Not Applicable",3,2.5,83
"2019-20","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",31.8,19,60
"2019-20","Atlanta Public Schools","Centennial Academy","Leaders","Not Applicable",5,5,100
"2019-20","Atlanta Public Schools","Centennial Academy","Teachers","Total",58,38,66
"2019-20","Atlanta Public Schools","Charles Drew Charter School JA/SA","Leaders","Not Applicable",5,2,40
"2019-20","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",78.5,53.5,68
"2019-20","Atlanta Public Schools","Charles R. Drew Charter School","Leaders","Not Applicable",3,0,0
"2019-20","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",75,35,47
"2019-20","Atlanta Public Schools","Cleveland Elementary School","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",28.6,13.5,47
"2019-20","Atlanta Public Schools","Continental Colony Elementary School","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",33.7,17.7,52
"2019-20","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Leaders","Not Applicable",4,0,0
"2019-20","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",37.7,17.6,47
"2019-20","Atlanta Public Schools","Crim High School","Leaders","Not Applicable",0.5,0,0
"2019-20","Atlanta Public Schools","Crim High School","Teachers","Total",16.3,7.1,44
"2019-20","Atlanta Public Schools","Deerwood Academy School","Leaders","Not Applicable",3,1,33
"2019-20","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",46.5,22.5,48
"2019-20","Atlanta Public Schools","Dobbs Elementary School","Leaders","Not Applicable",2,1,50
"2019-20","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",33.9,19.5,58
"2019-20","Atlanta Public Schools","Douglass High School","Leaders","Not Applicable",6,3,50
"2019-20","Atlanta Public Schools","Douglass High School","Teachers","Total",67.3,30.1,45
"2019-20","Atlanta Public Schools","Dunbar Elementary School","Leaders","Not Applicable",2,0,0
"2019-20","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",26,14.5,56
"2019-20","Atlanta Public Schools","Early College High School at Carver","Leaders","Not Applicable",3,0,0
"2019-20","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",35.6,13.1,37
"2019-20","Atlanta Public Schools","F. L. Stanton Elementary School","Leaders","Not Applicable",2,0,0
"2019-20","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",19.5,10,51
"2019-20","Atlanta Public Schools","Fickett Elementary School","Leaders","Not Applicable",3,2,67
