"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_NM","INSTN_NAME","LABEL_LVL_3_DESC","LABEL_LVL_2_DESC","FTE","OUTOFFIELD_FTE","OUTOFFIELD_FTE_PCT"
"2018-19","Appling County","Altamaha Elementary School","Teachers","Total",29.2,0.3,1
"2018-19","Appling County","Appling County Elementary School","Teachers","Total",45.9,1.6,4
"2018-19","Appling County","Appling County High School","Teachers","Total",69.2,7.1,10
"2018-19","Appling County","Appling County Middle School","Teachers","Total",57.9,5.3,9
"2018-19","Appling County","Appling County Primary School","Teachers","Total",54.2,2.2,4
"2018-19","Appling County","Appling County- All Schools","Teachers","Total",271.7,16.6,6
"2018-19","Appling County","Fourth District Elementary School","Teachers","Total",15.3,0,0
"2018-19","Atkinson County","Atkinson County High School","Teachers","Total",34,4,12
"2018-19","Atkinson County","Atkinson County Middle School","Teachers","Total",28,4.3,15
"2018-19","Atkinson County","Atkinson County- All Schools","Teachers","Total",128.5,10,8
"2018-19","Atkinson County","Pearson Elementary School","Teachers","Total",50.2,1.4,3
"2018-19","Atkinson County","Willacoochee Elementary School","Teachers","Total",16.4,0.3,2
"2018-19","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","High Poverty",43.2,8.8,20
"2018-19","Atlanta Public Schools","APS-Forrest Hills Academy","Teachers","Total",43.2,8.8,20
"2018-19","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Low Poverty",62,19.4,31
"2018-19","Atlanta Public Schools","Atlanta Classical Academy","Teachers","Total",62,19.4,31
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Low Poverty",38,0.7,2
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Elementary","Teachers","Total",38,0.7,2
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Low Poverty",28,10.4,37
"2018-19","Atlanta Public Schools","Atlanta Neighborhood Charter - Middle","Teachers","Total",28,10.4,37
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","High Poverty",4856.4,648.4,13
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Low Poverty",977.1,116.4,12
"2018-19","Atlanta Public Schools","Atlanta Public Schools- All Schools","Teachers","Total",6127.2,828.7,14
"2018-19","Atlanta Public Schools","B.E.S.T Academy","Teachers","High Poverty",68.1,11.6,17
"2018-19","Atlanta Public Schools","B.E.S.T Academy","Teachers","Total",68.1,11.6,17
"2018-19","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","High Poverty",45.1,4.3,9
"2018-19","Atlanta Public Schools","Barack and Michelle Obama Academy","Teachers","Total",45.1,4.3,9
"2018-19","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","High Poverty",79.5,11.2,14
"2018-19","Atlanta Public Schools","Bazoline E. Usher/Collier Heights Elmentary School","Teachers","Total",79.5,11.2,14
"2018-19","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","High Poverty",41.5,0.4,1
"2018-19","Atlanta Public Schools","Beecher Hills Elementary School","Teachers","Total",41.5,0.4,1
"2018-19","Atlanta Public Schools","Benteen Elementary School","Teachers","High Poverty",45.6,3,7
"2018-19","Atlanta Public Schools","Benteen Elementary School","Teachers","Total",45.6,3,7
"2018-19","Atlanta Public Schools","Bolton Academy","Teachers","Total",68,4.8,7
"2018-19","Atlanta Public Schools","Booker T. Washington High School","Teachers","High Poverty",121.5,20.9,17
"2018-19","Atlanta Public Schools","Booker T. Washington High School","Teachers","Total",121.5,20.9,17
"2018-19","Atlanta Public Schools","Boyd Elementary School","Teachers","High Poverty",68,9.5,14
"2018-19","Atlanta Public Schools","Boyd Elementary School","Teachers","Total",68,9.5,14
"2018-19","Atlanta Public Schools","Brandon Elementary School","Teachers","Low Poverty",79,5.9,7
"2018-19","Atlanta Public Schools","Brandon Elementary School","Teachers","Total",79,5.9,7
"2018-19","Atlanta Public Schools","Brown Middle School","Teachers","High Poverty",63.3,7.4,12
"2018-19","Atlanta Public Schools","Brown Middle School","Teachers","Total",63.3,7.4,12
"2018-19","Atlanta Public Schools","Bunche Middle School","Teachers","High Poverty",82.8,11.4,14
"2018-19","Atlanta Public Schools","Bunche Middle School","Teachers","Total",82.8,11.4,14
"2018-19","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","High Poverty",55,0.7,1
"2018-19","Atlanta Public Schools","Burgess-Peterson Elementary School","Teachers","Total",55,0.7,1
"2018-19","Atlanta Public Schools","Carver High School","Teachers","High Poverty",93,14,15
"2018-19","Atlanta Public Schools","Carver High School","Teachers","Total",93,14,15
"2018-19","Atlanta Public Schools","Cascade Elementary School","Teachers","High Poverty",60.1,3.9,6
"2018-19","Atlanta Public Schools","Cascade Elementary School","Teachers","Total",60.1,3.9,6
"2018-19","Atlanta Public Schools","Centennial Academy","Teachers","High Poverty",100,15.8,16
"2018-19","Atlanta Public Schools","Centennial Academy","Teachers","Total",100,15.8,16
"2018-19","Atlanta Public Schools","Charles Drew Charter School JA/SA","Teachers","Total",95.8,14.1,15
"2018-19","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Low Poverty",84,8.1,10
"2018-19","Atlanta Public Schools","Charles R. Drew Charter School","Teachers","Total",84,8.1,10
"2018-19","Atlanta Public Schools","Cleveland Elementary School","Teachers","High Poverty",46.9,4.5,10
"2018-19","Atlanta Public Schools","Cleveland Elementary School","Teachers","Total",46.9,4.5,10
"2018-19","Atlanta Public Schools","Continental Colony Elementary School","Teachers","High Poverty",46.5,0.4,1
"2018-19","Atlanta Public Schools","Continental Colony Elementary School","Teachers","Total",46.5,0.4,1
"2018-19","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","High Poverty",65.3,8.6,13
"2018-19","Atlanta Public Schools","Corretta Scott King Womens' Leadership Academy","Teachers","Total",65.3,8.6,13
"2018-19","Atlanta Public Schools","Crim High School","Teachers","High Poverty",57.2,6.4,11
"2018-19","Atlanta Public Schools","Crim High School","Teachers","Total",57.2,6.4,11
"2018-19","Atlanta Public Schools","Deerwood Academy School","Teachers","High Poverty",69.5,5.1,7
"2018-19","Atlanta Public Schools","Deerwood Academy School","Teachers","Total",69.5,5.1,7
"2018-19","Atlanta Public Schools","Dobbs Elementary School","Teachers","High Poverty",62,6,10
"2018-19","Atlanta Public Schools","Dobbs Elementary School","Teachers","Total",62,6,10
"2018-19","Atlanta Public Schools","Douglass High School","Teachers","High Poverty",126,18.7,15
"2018-19","Atlanta Public Schools","Douglass High School","Teachers","Total",126,18.7,15
"2018-19","Atlanta Public Schools","Dunbar Elementary School","Teachers","High Poverty",39.4,1,3
"2018-19","Atlanta Public Schools","Dunbar Elementary School","Teachers","Total",39.4,1,3
"2018-19","Atlanta Public Schools","Early College High School at Carver","Teachers","High Poverty",67.3,11.7,17
"2018-19","Atlanta Public Schools","Early College High School at Carver","Teachers","Total",67.3,11.7,17
"2018-19","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","High Poverty",54,7.4,14
"2018-19","Atlanta Public Schools","F. L. Stanton Elementary School","Teachers","Total",54,7.4,14
"2018-19","Atlanta Public Schools","Fain Elementary School","Teachers","High Poverty",64.2,8,12
"2018-19","Atlanta Public Schools","Fain Elementary School","Teachers","Total",64.2,8,12
"2018-19","Atlanta Public Schools","Fickett Elementary School","Teachers","High Poverty",59.5,1.8,3
"2018-19","Atlanta Public Schools","Fickett Elementary School","Teachers","Total",59.5,1.8,3
"2018-19","Atlanta Public Schools","Finch Elementary","Teachers","High Poverty",71.2,4.6,7
"2018-19","Atlanta Public Schools","Finch Elementary","Teachers","Total",71.2,4.6,7
"2018-19","Atlanta Public Schools","Garden Hills Elementary School","Teachers","Total",62,8,13
"2018-19","Atlanta Public Schools","Gideons Elementary School","Teachers","High Poverty",89,11.8,13
"2018-19","Atlanta Public Schools","Gideons Elementary School","Teachers","Total",89,11.8,13
"2018-19","Atlanta Public Schools","Grady High School","Teachers","Low Poverty",133.5,19.5,15
"2018-19","Atlanta Public Schools","Grady High School","Teachers","Total",133.5,19.5,15
"2018-19","Atlanta Public Schools","Harper-Archer Middle School","Teachers","High Poverty",29.4,5.9,20
"2018-19","Atlanta Public Schools","Harper-Archer Middle School","Teachers","Total",29.4,5.9,20
"2018-19","Atlanta Public Schools","Heritage Academy Elementary","Teachers","High Poverty",67.2,4.5,7
"2018-19","Atlanta Public Schools","Heritage Academy Elementary","Teachers","Total",67.2,4.5,7
"2018-19","Atlanta Public Schools","Hillside Conant School","Teachers","High Poverty",18,5.8,32
"2018-19","Atlanta Public Schools","Hillside Conant School","Teachers","Total",18,5.8,32
"2018-19","Atlanta Public Schools","Humphries Elementary School","Teachers","High Poverty",33.6,2.3,7
"2018-19","Atlanta Public Schools","Humphries Elementary School","Teachers","Total",33.6,2.3,7
"2018-19","Atlanta Public Schools","Hutchinson Elementary School","Teachers","High Poverty",70.4,5.6,8
"2018-19","Atlanta Public Schools","Hutchinson Elementary School","Teachers","Total",70.4,5.6,8
"2018-19","Atlanta Public Schools","Inman Middle School","Teachers","Low Poverty",83,9.3,11
"2018-19","Atlanta Public Schools","Inman Middle School","Teachers","Total",83,9.3,11
"2018-19","Atlanta Public Schools","Jackson Elementary School","Teachers","Low Poverty",61,3.2,5
"2018-19","Atlanta Public Schools","Jackson Elementary School","Teachers","Total",61,3.2,5
"2018-19","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","High Poverty",51,17.2,34
"2018-19","Atlanta Public Schools","John Lewis Invictus Academy","Teachers","Total",51,17.2,34
"2018-19","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","High Poverty",98,28.5,29
"2018-19","Atlanta Public Schools","KIPP Atlanta Collegiate","Teachers","Total",98,28.5,29
"2018-19","Atlanta Public Schools","KIPP Soul Primary","Teachers","Total",7,2.2,31
"2018-19","Atlanta Public Schools","KIPP Strive Primary","Teachers","High Poverty",30,7.5,25
"2018-19","Atlanta Public Schools","KIPP Strive Primary","Teachers","Total",30,7.5,25
"2018-19","Atlanta Public Schools","KIPP VISION","Teachers","High Poverty",29,21.7,75
"2018-19","Atlanta Public Schools","KIPP VISION","Teachers","Total",29,21.7,75
"2018-19","Atlanta Public Schools","KIPP Vision Primary","Teachers","High Poverty",39,12.5,32
"2018-19","Atlanta Public Schools","KIPP Vision Primary","Teachers","Total",39,12.5,32
"2018-19","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","High Poverty",30,21.1,70
"2018-19","Atlanta Public Schools","KIPP West Atlanta Young Scholars Academy","Teachers","Total",30,21.1,70
"2018-19","Atlanta Public Schools","Kimberly Elementary School","Teachers","High Poverty",56.5,1.2,2
"2018-19","Atlanta Public Schools","Kimberly Elementary School","Teachers","Total",56.5,1.2,2
"2018-19","Atlanta Public Schools","Kindezi","Teachers","High Poverty",65.5,8.9,14
